學院,系所,年級,編號,班別,科目名稱,科目名稱_中文,科目名稱_英文,任課教授,上課時數,正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
法學院,法律學研究所,1,6055013,01,日文法學名著選讀（一）Readings on Selected Topics of Japan Law (I) ,日文法學名著選讀（一）,Readings on Selected Topics of Japan Law (I) ,黃士軒 ,2,2/0/0,2,選修," 三8,9",法學院509,20,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055013_01,先修科目(6055014)日文法學名著選讀（二）(及格) (6055345)法學日文（一）(及格) (所有先修條件都必須符合)
法學院,法律學研究所,1,6055058,01,商事法專題研究（保險法）（四）Seminar on Commercial Law (Insurance Law) (IV) ,商事法專題研究（保險法）（四）,Seminar on Commercial Law (Insurance Law) (IV) ,羅俊瑋 ,2,2/0/0,2,選修," 一10,11",法學院406,40,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055058_01,碩士班民商法組相對必修課程，限民商法組學生選修。
法學院,法律學研究所,1,6055101,01,社會法專題研究（一）Seminar on Social Law (I) ,社會法專題研究（一）,Seminar on Social Law (I) ,郝鳳鳴 ,3,3/0/0,3,選修," 二7,8,9",法學院407,20,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055101_01,碩士班勞動法與社會法組相對必修課程。
法學院,法律學研究所,1,6055106,01,憲法專題研究－政府組織（二）Seminar on Constitution Law - Govermental Organization (II) ,憲法專題研究－政府組織（二）,Seminar on Constitution Law - Govermental Organization (II) ,蕭文生 ,2,2/0/0,2,選修," 二4,5",法學院306,40,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055106_01,碩士班公法組相對必修課程。
法學院,法律學研究所,1,6055128,01,刑法基礎理論專題研究（二）Seminar on Criminal Law- Basic Theory (II) ,刑法基礎理論專題研究（二）,Seminar on Criminal Law- Basic Theory (II) ,黃士軒 ,2,2/0/0,2,選修," 五4,5",法學院407,20,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055128_01,碩士班刑事法組相對必修課程。
法學院,法律學研究所,1,6055144,01,刑事政策專題研究（一）Seminar on Criminal Policy (I) ,刑事政策專題研究（一）,Seminar on Criminal Policy (I) ,盧映潔 ,2,2/0/0,2,選修," 二4,5",法學院507,40,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055144_01,碩士班刑事法組相對必修課程。
法學院,法律學研究所,1,6055184,01,勞動法專題研究（四）Seminar on Labor Law (IV) ,勞動法專題研究（四）,Seminar on Labor Law (IV) ,鄭津津 ,2,2/0/0,2,選修," 二4,5",法學院406,40,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055184_01,碩士班勞動法與社會法組相對必修課程。
法學院,法律學研究所,1,6055199,01,日本勞動法專題研究（一）Seminar on Labor Law in Japan (I) ,日本勞動法專題研究（一）,Seminar on Labor Law in Japan (I) ,周兆昱 ,2,2/0/0,2,選修," 三4,5",法學院306,40,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055199_01,碩士班勞動法與社會法組相對必修課程。
法學院,法律學研究所,1,6055212,01,行政法專題研究－行政救濟法（二）Seminar on Administrative Law－Administrative Remedy Law (II) ,行政法專題研究－行政救濟法（二）,Seminar on Administrative Law－Administrative Remedy Law (II) ,江義雄 ,2,2/0/0,2,選修," 二11,12",法學院507,40,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055212_01,碩士班公法組相對必修課程。
法學院,法律學研究所,1,6055213,01,行政法專題研究－行政作用法（二）Seminar on Administrative Law－Administrative Action Law (II) ,行政法專題研究－行政作用法（二）,Seminar on Administrative Law－Administrative Action Law (II) ,劉建宏 ,2,2/0/0,2,選修," 一8,9",法學院307,20,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055213_01,碩士班公法組相對必修課程。
法學院,法律學研究所,1,6055315,01,商事法專題研究（資本市場法制）（二）Seminar on Commercial Law: Capital Market Regulations (II) ,商事法專題研究（資本市場法制）（二）,Seminar on Commercial Law: Capital Market Regulations (II) ,洪令家 ,2,2/0/0,2,選修," 一4,5",法學院306,40,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055315_01,碩士班民商法組相對必修課程。
法學院,法律學研究所,1,6055317,01,民法專題研究（財產法）（一）Seminar on Civil Law (Property Law)(I) ,民法專題研究（財產法）（一）,Seminar on Civil Law (Property Law)(I) ,謝哲勝 ,2,2/0/0,2,選修," 二10,11",法學院306,40,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055317_01,碩士班民商法組相對必修課程。
法學院,法律學研究所,1,6055321,01,民法專題研究（財產法）（五）Seminar on Civil Law (Property Law)(V) ,民法專題研究（財產法）（五）,Seminar on Civil Law (Property Law)(V) ,廖蕙玟 ,2,2/0/0,2,選修," 四4,5",法學院307,20,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055321_01,碩士班民商法組相對必修課程。
法學院,法律學研究所,1,6055344,01,法學德文（二）Legal German (II) ,法學德文（二）,Legal German (II) ,高文琦 ,2,2/0/0,2,選修," 四4,5",法學院508,40,碩博合開,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_6055344_01,
